route_Name,busname,bus_desc,bustype,starttime,endtime,duration,dploc,ratings,fare,seats,Bus_Name,Bus_Id,Seat_Type,Actype,dur_in_min,Orgin,End
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:25:00,6:10:00,06h 45m,PORANKI,4.4,469,31,APSRTC,Government Bus,Unknown,AC,405,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,INDRA(A.C. Seater),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:30:00,5:40:00,06h 10m,VIJAYAWADA AIR PORT GATE,4.4,567,38,APSRTC,Government Bus,Unknown,AC,370,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:30:00,5:35:00,06h 05m,Rtc bus stand,4.4,720,47,APSRTC,Government Bus,Unknown,AC,365,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:30:00,5:44:00,06h 14m,Rtc bus stand,3.9,469,32,APSRTC,Government Bus,Unknown,AC,374,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:40:00,5:10:00,05h 30m,Enikepadu,4.9,469,33,APSRTC,Government Bus,Unknown,AC,330,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:40:00,5:35:00,05h 55m,Rtc bus stand,4.5,720,41,APSRTC,Government Bus,Unknown,AC,355,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,VENNELA (A.C. SLEEPER),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:45:00,4:45:00,05h 00m,Rtc bus stand,4,781,25,APSRTC,Government Bus,Unknown,AC,300,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,INDRA(A.C. Seater),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:45:00,5:44:00,05h 59m,Rtc bus stand,3.3,567,25,APSRTC,Government Bus,Unknown,AC,359,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,VENNELA (A.C. SLEEPER),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:50:00,5:25:00,05h 35m,Rtc bus stand,3.9,839,14,APSRTC,Government Bus,Unknown,AC,335,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:55:00,6:25:00,06h 30m,Rtc bus stand,2.9,469,34,APSRTC,Government Bus,Unknown,AC,390,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,RAJDHANI (A.C. Semi Sleeper),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),10:20:00,16:15:00,05h 55m,PNBS-VJA,2.5,480,37,APSRTC,Government Bus,Unknown,AC,355,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),11:00:00,16:00:00,05h 00m,PNBS-VJA,4.6,396,33,APSRTC,Government Bus,Unknown,AC,300,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,RAJDHANI (A.C. Semi Sleeper),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),11:20:00,17:00:00,05h 40m,PNBS-VJA,2.1,480,37,APSRTC,Government Bus,Unknown,AC,340,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),11:40:00,16:20:00,04h 40m,PNBS-VJA,4.5,396,33,APSRTC,Government Bus,Unknown,AC,280,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,RAJADHANI AC (CONVERTED METRO LUXURY),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),11:45:00,17:40:00,05h 55m,PNBS-VJA,3,480,36,APSRTC,Government Bus,Unknown,AC,355,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,RAJDHANI (A.C. Semi Sleeper),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),12:10:00,16:40:00,04h 30m,PNBS-VJA,3.1,480,34,APSRTC,Government Bus,Unknown,AC,270,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),12:20:00,18:30:00,06h 10m,PNBS-VJA,2.2,396,33,APSRTC,Government Bus,Unknown,AC,370,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,RAJDHANI (A.C. Semi Sleeper),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),12:40:00,17:10:00,04h 30m,PNBS-VJA,2.7,480,37,APSRTC,Government Bus,Unknown,AC,270,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,RAJDHANI (A.C. Semi Sleeper),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),13:00:00,19:10:00,06h 10m,PNBS-VJA,1.7,480,37,APSRTC,Government Bus,Unknown,AC,370,Vijayawada,Hyderabad
